sensor_ID	3337
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
0.019227	0.815210	0.567827	0.009413	0.010041	0.008158	-0.257813	-0.970337	-0.734253	0	17_29_10_7520000
0.019227	0.815210	0.567827	-0.009099	0.009099	0.008158	-0.257813	-0.970337	-0.734253	1	17_29_10_7600000
0.019227	0.815210	0.567827	-0.005020	0.002196	0.008472	-0.257813	-0.970215	-0.734253	2	17_29_10_7680000
0.019440	0.815210	0.567827	-0.005334	0.004393	0.012865	-0.257813	-0.970215	-0.734253	3	17_29_10_7760000
0.019440	0.815210	0.567827	0.004707	0.011296	-0.006589	-0.257813	-0.970215	-0.734253	4	17_29_10_7840000
0.019227	0.815210	0.567827	-0.011296	0.006903	0.001883	-0.257813	-0.970215	-0.734253	5	17_29_10_7920000
0.019227	0.815210	0.567827	0.006589	0.009099	-0.001883	-0.257813	-0.970215	-0.734375	6	17_29_10_8000000
0.019227	0.815210	0.567827	0.008158	0.006903	-0.007217	-0.257690	-0.970337	-0.734253	7	17_29_10_8080000
0.019227	0.815424	0.567614	0.007844	0.010668	0.005334	-0.257568	-0.970337	-0.734131	8	17_29_10_8160000
0.019227	0.815424	0.567614	0.001883	0.002510	0.000628	-0.257568	-0.970459	-0.734131	9	17_29_10_8240000
0.019227	0.815424	0.567614	0.010355	0.006589	0.000628	-0.257568	-0.970459	-0.734131	10	17_29_10_8320000
0.019013	0.815424	0.567614	0.007531	0.014434	0.010668	-0.257568	-0.970459	-0.734009	11	17_29_10_8400000
0.019013	0.815424	0.567400	0.000314	0.013806	0.004707	-0.257568	-0.970581	-0.734009	12	17_29_10_8480000
0.019013	0.815424	0.567400	-0.000941	0.020395	0.008786	-0.257568	-0.970581	-0.734009	13	17_29_10_8560000
0.019013	0.815424	0.567400	0.008786	0.022278	0.000000	-0.257446	-0.970581	-0.734009	14	17_29_10_8640000
0.019013	0.815424	0.567400	-0.003765	0.011610	-0.000314	-0.257324	-0.970581	-0.734009	15	17_29_10_8720000
0.019013	0.815424	0.567400	-0.015375	0.007844	0.014747	-0.257324	-0.970581	-0.734009	16	17_29_10_8800000
0.019013	0.815424	0.567614	0.003138	0.003138	0.017885	-0.257446	-0.970459	-0.734131	17	17_29_10_8880000
0.019013	0.815424	0.567400	0.001883	0.006903	0.007217	-0.257568	-0.970459	-0.734131	18	17_29_10_8960000
0.019013	0.815424	0.567400	-0.002824	0.011610	0.003138	-0.257568	-0.970459	-0.734131	19	17_29_10_9040000
0.019013	0.815424	0.567400	0.000000	0.005962	0.009413	-0.257568	-0.970459	-0.734131	20	17_29_10_9120000
0.019227	0.815424	0.567400	-0.004393	0.003765	0.006589	-0.257568	-0.970459	-0.734131	21	17_29_10_9200000
0.019227	0.815424	0.567614	-0.015689	-0.001883	0.010982	-0.257568	-0.970459	-0.734131	22	17_29_10_9280000
0.019227	0.815424	0.567614	0.005020	0.006275	0.003765	-0.257690	-0.970337	-0.734131	23	17_29_10_9360000
0.019227	0.815424	0.567614	-0.003452	0.003138	-0.003452	-0.257690	-0.970337	-0.734131	24	17_29_10_9440000
0.019227	0.815424	0.567614	-0.013806	0.003765	0.003138	-0.257690	-0.970337	-0.734253	25	17_29_10_9520000
0.019227	0.815424	0.567614	-0.004393	-0.006275	0.001255	-0.257690	-0.970337	-0.734253	26	17_29_10_9600000
0.019227	0.815424	0.567614	-0.005648	0.008786	0.002196	-0.257690	-0.970337	-0.734253	27	17_29_10_9680000
0.019227	0.815424	0.567614	-0.001569	0.008472	-0.004707	-0.257568	-0.970337	-0.734253	28	17_29_10_9760000
0.019227	0.815424	0.567614	-0.009099	-0.001255	0.004079	-0.257568	-0.970337	-0.734253	29	17_29_10_9840000
0.019227	0.815424	0.567614	0.006903	0.005020	0.014120	-0.257690	-0.970215	-0.734253	30	17_29_10_9920000
0.019227	0.815424	0.567614	0.001255	0.008472	0.014434	-0.257690	-0.970337	-0.734253	31	17_29_11_0000000
0.019440	0.815424	0.567614	0.004707	0.005962	0.014747	-0.257813	-0.970337	-0.734253	32	17_29_11_0080000
0.019440	0.815424	0.567614	-0.005020	0.017258	0.002196	-0.257813	-0.970337	-0.734253	33	17_29_11_0160000
0.019440	0.815424	0.567614	0.001255	-0.000628	0.011296	-0.257813	-0.970337	-0.734253	34	17_29_11_0240000
0.019440	0.815424	0.567614	-0.002824	0.014747	0.000628	-0.257813	-0.970337	-0.734253	35	17_29_11_0320000
0.019227	0.815424	0.567614	0.006903	0.015061	-0.001569	-0.257690	-0.970337	-0.734253	36	17_29_11_0400000
0.019227	0.815424	0.567614	0.008158	0.012551	-0.000628	-0.257690	-0.970337	-0.734131	37	17_29_11_0480000
0.019227	0.815638	0.567400	0.006903	0.017571	0.004393	-0.257568	-0.970459	-0.734131	38	17_29_11_0560000
0.019013	0.815638	0.567400	0.000000	0.022592	-0.001569	-0.257446	-0.970459	-0.734131	39	17_29_11_0640000
0.019013	0.815638	0.567400	0.000314	0.018826	0.007531	-0.257446	-0.970459	-0.734131	40	17_29_11_0720000
0.019013	0.815638	0.567400	-0.003138	0.015061	0.011296	-0.257446	-0.970459	-0.734131	41	17_29_11_0800000
0.019013	0.815638	0.567400	0.002196	0.004393	0.013806	-0.257446	-0.970459	-0.734131	42	17_29_11_0880000
0.019227	0.815638	0.567400	0.002824	0.011610	0.011296	-0.257446	-0.970459	-0.734131	43	17_29_11_0960000
0.019227	0.815638	0.567400	-0.013806	0.005334	0.002510	-0.257446	-0.970459	-0.734131	44	17_29_11_1040000
0.019227	0.815638	0.567400	-0.004393	0.012551	0.007531	-0.257446	-0.970337	-0.734253	45	17_29_11_1120000
0.019227	0.815638	0.567400	0.009727	0.010355	0.009413	-0.257446	-0.970337	-0.734253	46	17_29_11_1200000
0.019227	0.815638	0.567400	0.010041	0.007531	0.009413	-0.257568	-0.970459	-0.734131	47	17_29_11_1280000
0.019227	0.815638	0.567186	0.012865	0.013806	0.008786	-0.257568	-0.970459	-0.734009	48	17_29_11_1360000
0.019227	0.815638	0.567186	0.002824	0.010982	0.004393	-0.257568	-0.970581	-0.734009	49	17_29_11_1440000
0.019227	0.815851	0.567186	0.010355	0.011923	-0.001255	-0.257446	-0.970581	-0.734009	50	17_29_11_1520000
0.019013	0.815851	0.567186	0.003452	0.007217	0.003138	-0.257446	-0.970703	-0.733887	51	17_29_11_1600000
0.019013	0.815851	0.566973	0.002196	0.004707	0.002824	-0.257446	-0.970703	-0.733887	52	17_29_11_1680000
0.019013	0.815851	0.566973	0.008472	0.010355	-0.003765	-0.257324	-0.970703	-0.733887	53	17_29_11_1760000
0.019013	0.815851	0.566973	-0.001569	0.004393	0.008786	-0.257324	-0.970703	-0.733765	54	17_29_11_1840000
0.019013	0.815851	0.566973	0.005334	0.006589	0.021337	-0.257446	-0.970703	-0.733765	55	17_29_11_1920000
0.019227	0.815851	0.566973	0.003452	0.000314	0.007217	-0.257568	-0.970825	-0.733765	56	17_29_11_2000000
0.019227	0.815851	0.566973	-0.005334	-0.004393	0.006275	-0.257568	-0.970825	-0.733765	57	17_29_11_2080000
0.019227	0.815851	0.566973	0.003138	-0.001883	0.007217	-0.257690	-0.970703	-0.733643	58	17_29_11_2160000
0.019440	0.815851	0.566973	-0.005962	0.001883	0.005648	-0.257690	-0.970703	-0.733643	59	17_29_11_2240000
0.019440	0.815851	0.566973	0.002196	0.010982	0.008158	-0.257690	-0.970703	-0.733643	60	17_29_11_2320000
0.019440	0.815851	0.566973	-0.004079	0.007844	0.017885	-0.257813	-0.970703	-0.733643	61	17_29_11_2400000
0.019440	0.815851	0.566973	-0.004079	0.009727	0.004707	-0.257813	-0.970703	-0.733765	62	17_29_11_2480000
0.019440	0.815851	0.566973	0.004393	0.006275	-0.002824	-0.257813	-0.970703	-0.733765	63	17_29_11_2560000
0.019440	0.815851	0.566973	-0.002196	0.014120	-0.002824	-0.257690	-0.970703	-0.733643	64	17_29_11_2640000
0.019227	0.815851	0.566973	-0.001883	0.014747	-0.002824	-0.257568	-0.970703	-0.733765	65	17_29_11_2720000
0.019227	0.815851	0.566973	0.005020	0.011923	-0.008158	-0.257568	-0.970825	-0.733765	66	17_29_11_2800000
0.019227	0.815851	0.566973	-0.003452	0.009727	0.005020	-0.257446	-0.970825	-0.733765	67	17_29_11_2880000
0.019013	0.815851	0.566973	0.004393	0.006275	-0.003452	-0.257446	-0.970825	-0.733765	68	17_29_11_2960000
0.019013	0.815851	0.566759	-0.003452	0.006275	0.005020	-0.257324	-0.970825	-0.733643	69	17_29_11_3040000
0.019013	0.815851	0.566973	-0.007217	0.013492	0.002510	-0.257324	-0.970825	-0.733765	70	17_29_11_3120000
0.019013	0.815851	0.566973	-0.010668	0.011296	0.010041	-0.257324	-0.970825	-0.733765	71	17_29_11_3200000
0.019013	0.815851	0.566973	-0.017885	0.013806	0.002510	-0.257324	-0.970703	-0.733887	72	17_29_11_3280000
0.019013	0.815851	0.567186	-0.009727	0.006275	0.000000	-0.257324	-0.970581	-0.734009	73	17_29_11_3360000
0.019013	0.815638	0.567186	-0.012237	-0.000628	0.000628	-0.257324	-0.970581	-0.734131	74	17_29_11_3440000
0.019013	0.815638	0.567186	-0.007217	-0.000941	-0.006903	-0.257202	-0.970581	-0.734131	75	17_29_11_3520000
0.019013	0.815638	0.567186	0.004079	-0.007844	-0.003452	-0.257202	-0.970581	-0.734131	76	17_29_11_3600000
0.019013	0.815638	0.567186	0.003452	0.003138	-0.000628	-0.257202	-0.970581	-0.734131	77	17_29_11_3680000
