sensor_ID	000666015715
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
-0.181641	-0.676758	-0.161133	-0.187486	0.224984	-0.187486	0.750000	1.078125	0.632813	0	17_29_10_0856150
-0.178711	-0.673828	-0.164063	-0.196861	0.234358	-0.178112	0.738281	0.925781	0.515625	1	17_29_10_1017440
-0.187500	-0.685547	-0.164063	-0.187486	0.234358	-0.178112	0.750000	0.867188	0.492188	2	17_29_10_1178730
-0.172852	-0.688477	-0.161133	-0.196861	0.234358	-0.178112	0.761719	0.960938	0.515625	3	17_29_10_1340020
-0.181641	-0.673828	-0.152344	-0.187486	0.234358	-0.178112	0.761719	0.925781	0.515625	4	17_29_10_1501310
-0.178711	-0.676758	-0.161133	-0.196861	0.224984	-0.178112	0.726563	0.820313	0.515625	5	17_29_10_1662600
-0.181641	-0.673828	-0.158203	-0.196861	0.224984	-0.178112	0.750000	0.808594	0.562500	6	17_29_10_1823890
-0.172852	-0.676758	-0.155273	-0.196861	0.224984	-0.178112	0.714844	0.808594	0.550781	7	17_29_10_1985180
-0.181641	-0.676758	-0.166992	-0.206235	0.224984	-0.178112	0.750000	0.796875	0.539063	8	17_29_10_2146470
-0.178711	-0.665039	-0.155273	-0.196861	0.224984	-0.178112	0.773438	0.914063	0.562500	9	17_29_10_2307760
-0.166992	-0.676758	-0.158203	-0.196861	0.234358	-0.178112	0.750000	0.902344	0.527344	10	17_29_10_2469050
-0.184570	-0.676758	-0.161133	-0.196861	0.224984	-0.178112	0.785156	0.855469	0.515625	11	17_29_10_2630340
-0.187500	-0.676758	-0.161133	-0.187486	0.234358	-0.178112	0.761719	0.796875	0.527344	12	17_29_10_2791630
-0.181641	-0.685547	-0.152344	-0.196861	0.215609	-0.178112	0.761719	0.808594	0.562500	13	17_29_10_2952920
-0.184570	-0.676758	-0.155273	-0.196861	0.224984	-0.178112	0.773438	0.914063	0.515625	14	17_29_10_3114210
-0.172852	-0.673828	-0.166992	-0.196861	0.224984	-0.178112	0.750000	0.914063	0.480469	15	17_29_10_3275500
