sensor_ID	0006660160E3
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
0.131836	-0.562500	-0.046875	-0.365598	-0.674951	-0.609331	0.386719	0.984375	0.105469	0	17_29_10_1796150
0.125977	-0.565430	-0.041016	-0.374973	-0.665577	-0.599956	0.457031	0.890625	0.023438	1	17_29_10_1957440
0.134766	-0.547852	-0.052734	-0.365598	-0.674951	-0.609331	0.703125	0.867188	0.128906	2	17_29_10_2118730
0.131836	-0.559570	-0.043945	-0.365598	-0.674951	-0.599956	0.445313	0.890625	-0.011719	3	17_29_10_2280020
0.143555	-0.565430	-0.055664	-0.365598	-0.665577	-0.599956	0.433594	0.937500	-0.070313	4	17_29_10_2441310
0.131836	-0.562500	-0.055664	-0.365598	-0.665577	-0.599956	0.855469	0.937500	0.152344	5	17_29_10_2602600
0.128906	-0.556641	-0.052734	-0.374973	-0.665577	-0.599956	0.410156	0.914063	-0.011719	6	17_29_10_2763890
0.131836	-0.562500	-0.055664	-0.365598	-0.665577	-0.609331	0.445313	0.890625	0.000000	7	17_29_10_2925180
0.125977	-0.556641	-0.055664	-0.374973	-0.665577	-0.599956	0.445313	0.890625	0.023438	8	17_29_10_3086470
0.128906	-0.559570	-0.038086	-0.374973	-0.665577	-0.599956	0.468750	0.878906	0.046875	9	17_29_10_3247760
0.131836	-0.556641	-0.049805	-0.365598	-0.665577	-0.599956	0.457031	0.867188	0.480469	10	17_29_10_3409050
0.131836	-0.556641	-0.046875	-0.365598	-0.665577	-0.599956	0.421875	0.925781	-0.023438	11	17_29_10_3570340
0.131836	-0.574219	-0.052734	-0.365598	-0.665577	-0.609331	0.480469	0.914063	0.000000	12	17_29_10_3731630
0.134766	-0.562500	-0.055664	-0.365598	-0.665577	-0.599956	0.445313	0.878906	0.023438	13	17_29_10_3892920
0.131836	-0.568359	-0.046875	-0.365598	-0.674951	-0.599956	0.468750	0.843750	0.035156	14	17_29_10_4054210
0.140625	-0.565430	-0.061523	-0.365598	-0.665577	-0.599956	0.421875	0.902344	0.035156	15	17_29_10_4215500
0.134766	-0.568359	-0.049805	-0.365598	-0.665577	-0.599956	0.410156	0.949219	0.023438	16	17_29_10_4376790
0.134766	-0.559570	-0.052734	-0.365598	-0.665577	-0.609331	1.089844	0.914063	0.199219	17	17_29_10_4538080
0.123047	-0.556641	-0.049805	-0.365598	-0.665577	-0.609331	0.492188	0.890625	-0.035156	18	17_29_10_4699370
0.134766	-0.556641	-0.049805	-0.365598	-0.665577	-0.599956	0.480469	0.937500	0.000000	19	17_29_10_4860660
0.120117	-0.556641	-0.046875	-0.365598	-0.665577	-0.599956	0.410156	0.949219	0.070313	20	17_29_10_5021950
0.131836	-0.556641	-0.043945	-0.365598	-0.665577	-0.599956	0.457031	0.925781	0.363281	21	17_29_10_5183240
0.134766	-0.562500	-0.049805	-0.365598	-0.656202	-0.599956	0.445313	0.878906	0.046875	22	17_29_10_5344530
0.128906	-0.568359	-0.049805	-0.365598	-0.665577	-0.609331	0.410156	0.867188	0.046875	23	17_29_10_5505820
0.123047	-0.559570	-0.049805	-0.365598	-0.674951	-0.599956	0.410156	0.890625	0.011719	24	17_29_10_5667110
0.134766	-0.568359	-0.046875	-0.365598	-0.674951	-0.599956	0.410156	0.902344	0.000000	25	17_29_10_5828400
0.134766	-0.562500	-0.049805	-0.365598	-0.665577	-0.599956	0.445313	0.925781	0.000000	26	17_29_10_5989690
0.120117	-0.562500	-0.049805	-0.365598	-0.665577	-0.609331	0.468750	0.902344	0.023438	27	17_29_10_6150980
0.128906	-0.562500	-0.049805	-0.374973	-0.665577	-0.599956	0.445313	0.867188	0.046875	28	17_29_10_6312270
0.134766	-0.559570	-0.046875	-0.365598	-0.665577	-0.599956	0.480469	0.937500	0.046875	29	17_29_10_6473560
0.128906	-0.559570	-0.055664	-0.374973	-0.674951	-0.609331	0.457031	0.914063	0.070313	30	17_29_10_6634850
0.123047	-0.559570	-0.041016	-0.365598	-0.674951	-0.609331	0.445313	0.832031	0.070313	31	17_29_10_6796140
0.134766	-0.559570	-0.055664	-0.356224	-0.665577	-0.599956	0.445313	0.832031	0.011719	32	17_29_10_6957430
0.134766	-0.568359	-0.052734	-0.365598	-0.674951	-0.599956	0.433594	0.855469	0.035156	33	17_29_10_7118720
0.123047	-0.577148	-0.058594	-0.365598	-0.665577	-0.609331	0.445313	0.867188	0.046875	34	17_29_10_7280010
0.123047	-0.571289	-0.046875	-0.365598	-0.665577	-0.609331	0.761719	0.902344	0.105469	35	17_29_10_7441300
0.134766	-0.574219	-0.046875	-0.365598	-0.665577	-0.599956	0.867188	0.890625	0.175781	36	17_29_10_7602590
