sensor_ID	000666015711
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
0.038086	-0.196289	0.688477	-0.759320	-0.318727	-0.506213	-0.316406	-0.070313	-0.175781	0	16_54_04_6410000
0.041016	-0.199219	0.688477	-0.759320	-0.318727	-0.496839	-0.328125	-0.093750	-0.140625	1	16_54_04_6571290
0.026367	-0.190430	0.682617	-0.759320	-0.318727	-0.496839	-0.304688	-0.105469	-0.117188	2	16_54_04_6732580
0.026367	-0.193359	0.688477	-0.759320	-0.318727	-0.496839	-0.316406	-0.093750	-0.058594	3	16_54_04_6893870
0.017578	-0.196289	0.691406	-0.768694	-0.318727	-0.496839	-0.316406	-0.105469	-0.082031	4	16_54_04_7055160
0.029297	-0.199219	0.697266	-0.759320	-0.318727	-0.496839	-0.316406	-0.070313	-0.058594	5	16_54_04_7216450
0.017578	-0.205078	0.691406	-0.759320	-0.318727	-0.496839	-0.316406	-0.070313	-0.070313	6	16_54_04_7377740
0.020508	-0.199219	0.685547	-0.759320	-0.318727	-0.496839	-0.339844	-0.082031	-0.152344	7	16_54_04_7539030
0.020508	-0.202148	0.685547	-0.740571	-0.318727	-0.496839	-0.328125	-0.082031	-0.152344	8	16_54_04_7700320
0.017578	-0.196289	0.688477	-0.768694	-0.318727	-0.506213	-0.304688	-0.082031	-0.164063	9	16_54_04_7861610
0.011719	-0.208008	0.679688	-0.759320	-0.318727	-0.496839	-0.316406	-0.105469	-0.175781	10	16_54_04_8022900
0.020508	-0.193359	0.688477	-0.759320	-0.318727	-0.496839	-0.316406	-0.105469	-0.164063	11	16_54_04_8184190
0.029297	-0.199219	0.688477	-0.759320	-0.318727	-0.496839	-0.304688	-0.082031	-0.105469	12	16_54_04_8345480
0.020508	-0.196289	0.688477	-0.759320	-0.328101	-0.506213	-0.152344	-0.070313	-0.023438	13	16_54_04_8506770
0.023438	-0.190430	0.688477	-0.759320	-0.337475	-0.506213	-0.304688	-0.117188	-0.152344	14	16_54_04_8668060
0.035156	-0.193359	0.700195	-0.768694	-0.328101	-0.506213	-0.070313	0.000000	0.000000	15	16_54_04_8829350
0.029297	-0.196289	0.685547	-0.759320	-0.337475	-0.506213	-0.316406	-0.082031	-0.152344	16	16_54_04_8990640
0.029297	-0.190430	0.688477	-0.759320	-0.337475	-0.506213	-0.304688	-0.093750	-0.140625	17	16_54_04_9151930
0.041016	-0.181641	0.691406	-0.759320	-0.337475	-0.506213	-0.316406	-0.070313	-0.164063	18	16_54_04_9313220
0.029297	-0.190430	0.688477	-0.749946	-0.318727	-0.496839	-0.316406	-0.070313	-0.140625	19	16_54_04_9474510
0.043945	-0.184570	0.694336	-0.759320	-0.318727	-0.506213	-0.281250	-0.070313	-0.058594	20	16_54_04_9635800
0.035156	-0.187500	0.688477	-0.759320	-0.318727	-0.506213	-0.339844	-0.070313	-0.070313	21	16_54_04_9797090
0.032227	-0.187500	0.694336	-0.768694	-0.318727	-0.496839	-0.304688	-0.093750	-0.128906	22	16_54_04_9958380
0.032227	-0.190430	0.700195	-0.759320	-0.328101	-0.496839	-0.316406	-0.140625	-0.105469	23	16_54_05_0119670
0.035156	-0.187500	0.688477	-0.759320	-0.328101	-0.506213	-0.316406	-0.105469	-0.082031	24	16_54_05_0280960
0.035156	-0.190430	0.682617	-0.759320	-0.318727	-0.496839	-0.316406	-0.093750	-0.093750	25	16_54_05_0442250
0.041016	-0.175781	0.688477	-0.759320	-0.318727	-0.496839	-0.304688	-0.070313	-0.093750	26	16_54_05_0603540
0.035156	-0.190430	0.688477	-0.749946	-0.318727	-0.496839	-0.316406	-0.093750	-0.117188	27	16_54_05_0764830
0.032227	-0.190430	0.682617	-0.759320	-0.309353	-0.496839	-0.292969	-0.128906	-0.105469	28	16_54_05_0926120
0.017578	-0.184570	0.694336	-0.768694	-0.318727	-0.496839	-0.257813	-0.058594	-0.093750	29	16_54_05_1087410
0.017578	-0.202148	0.688477	-0.759320	-0.318727	-0.496839	-0.339844	-0.070313	-0.152344	30	16_54_05_1248700
0.017578	-0.193359	0.691406	-0.759320	-0.318727	-0.496839	-0.316406	-0.117188	-0.117188	31	16_54_05_1409990
0.032227	-0.190430	0.688477	-0.759320	-0.318727	-0.496839	-0.316406	-0.105469	-0.105469	32	16_54_05_1571280
0.026367	-0.196289	0.688477	-0.759320	-0.318727	-0.496839	-0.351563	-0.070313	-0.082031	33	16_54_05_1732570
0.029297	-0.181641	0.691406	-0.759320	-0.318727	-0.496839	-0.316406	-0.070313	-0.128906	34	16_54_05_1893860
0.026367	-0.196289	0.685547	-0.759320	-0.318727	-0.496839	-0.093750	0.023438	-0.070313	35	16_54_05_2055150
0.017578	-0.199219	0.688477	-0.759320	-0.318727	-0.506213	-0.316406	-0.070313	-0.093750	36	16_54_05_2216440
0.020508	-0.184570	0.691406	-0.759320	-0.318727	-0.496839	-0.316406	-0.082031	-0.093750	37	16_54_05_2377730
0.017578	-0.187500	0.685547	-0.749946	-0.318727	-0.496839	-0.316406	-0.117188	-0.105469	38	16_54_05_2539020
0.041016	-0.184570	0.688477	-0.759320	-0.318727	-0.496839	-0.316406	-0.105469	-0.105469	39	16_54_05_2700310
0.038086	-0.187500	0.697266	-0.768694	-0.328101	-0.496839	-0.269531	-0.046875	0.046875	40	16_54_05_2861600
0.029297	-0.193359	0.688477	-0.759320	-0.318727	-0.506213	-0.304688	-0.093750	-0.082031	41	16_54_05_3022890
0.035156	-0.193359	0.691406	-0.759320	-0.318727	-0.506213	-0.316406	-0.117188	-0.117188	42	16_54_05_3184180
0.029297	-0.187500	0.688477	-0.759320	-0.318727	-0.496839	-0.316406	-0.128906	-0.140625	43	16_54_05_3345470
0.041016	-0.196289	0.691406	-0.759320	-0.328101	-0.506213	-0.187500	-0.046875	-0.105469	44	16_54_05_3506760
0.038086	-0.196289	0.691406	-0.759320	-0.318727	-0.496839	-0.316406	-0.082031	-0.152344	45	16_54_05_3668050
0.029297	-0.187500	0.694336	-0.759320	-0.318727	-0.506213	-0.316406	-0.117188	-0.140625	46	16_54_05_3829340
0.035156	-0.199219	0.691406	-0.759320	-0.318727	-0.496839	-0.304688	-0.117188	-0.105469	47	16_54_05_3990630
0.026367	-0.184570	0.691406	-0.759320	-0.318727	-0.506213	-0.316406	-0.128906	-0.082031	48	16_54_05_4151920
0.026367	-0.196289	0.691406	-0.759320	-0.318727	-0.496839	-0.316406	-0.082031	-0.105469	49	16_54_05_4313210
0.029297	-0.196289	0.688477	-0.768694	-0.318727	-0.496839	-0.304688	-0.105469	-0.070313	50	16_54_05_4474500
0.023438	-0.196289	0.694336	-0.768694	-0.328101	-0.506213	-0.257813	-0.082031	-0.011719	51	16_54_05_4635790
0.026367	-0.199219	0.691406	-0.759320	-0.318727	-0.496839	-0.304688	-0.093750	-0.082031	52	16_54_05_4797080
0.041016	-0.181641	0.688477	-0.768694	-0.318727	-0.506213	-0.292969	-0.117188	-0.152344	53	16_54_05_4958370
0.026367	-0.184570	0.691406	-0.759320	-0.318727	-0.496839	-0.339844	-0.117188	-0.152344	54	16_54_05_5119660
0.032227	-0.205078	0.682617	-0.759320	-0.318727	-0.506213	-0.328125	-0.105469	-0.070313	55	16_54_05_5280950
0.029297	-0.196289	0.688477	-0.759320	-0.318727	-0.506213	-0.304688	-0.070313	-0.070313	56	16_54_05_5442240
0.026367	-0.190430	0.691406	-0.759320	-0.318727	-0.496839	-0.339844	-0.082031	-0.082031	57	16_54_05_5603530
0.032227	-0.190430	0.682617	-0.759320	-0.318727	-0.496839	-0.316406	-0.082031	-0.105469	58	16_54_05_5764820
0.032227	-0.187500	0.688477	-0.768694	-0.318727	-0.496839	-0.304688	-0.035156	-0.011719	59	16_54_05_5926110
0.032227	-0.193359	0.688477	-0.759320	-0.318727	-0.496839	-0.316406	-0.128906	-0.117188	60	16_54_05_6087400
0.038086	-0.193359	0.694336	-0.759320	-0.318727	-0.496839	-0.316406	-0.070313	-0.093750	61	16_54_05_6248690
0.023438	-0.181641	0.688477	-0.759320	-0.318727	-0.506213	-0.304688	-0.070313	-0.070313	62	16_54_05_6409980
0.029297	-0.193359	0.685547	-0.759320	-0.318727	-0.496839	-0.304688	-0.070313	-0.093750	63	16_54_05_6571270
0.032227	-0.193359	0.694336	-0.759320	-0.328101	-0.506213	-0.316406	-0.082031	-0.128906	64	16_54_05_6732560
0.041016	-0.193359	0.688477	-0.768694	-0.318727	-0.496839	-0.304688	-0.117188	-0.058594	65	16_54_05_6893850
0.032227	-0.193359	0.688477	-0.759320	-0.318727	-0.496839	-0.316406	-0.128906	-0.058594	66	16_54_05_7055140
0.032227	-0.208008	0.694336	-0.759320	-0.318727	-0.506213	-0.199219	-0.082031	-0.023438	67	16_54_05_7216430
0.032227	-0.202148	0.691406	-0.759320	-0.318727	-0.496839	-0.316406	-0.070313	-0.035156	68	16_54_05_7377720
0.032227	-0.199219	0.688477	-0.759320	-0.318727	-0.496839	-0.316406	-0.070313	-0.105469	69	16_54_05_7539010
0.032227	-0.187500	0.691406	-0.759320	-0.318727	-0.496839	-0.316406	-0.070313	-0.128906	70	16_54_05_7700300
0.014648	-0.184570	0.694336	-0.768694	-0.318727	-0.496839	-0.316406	-0.070313	-0.035156	71	16_54_05_7861590
0.029297	-0.187500	0.688477	-0.759320	-0.318727	-0.496839	-0.316406	-0.082031	-0.152344	72	16_54_05_8022880
0.026367	-0.193359	0.688477	-0.759320	-0.328101	-0.496839	-0.339844	-0.117188	-0.175781	73	16_54_05_8184170
0.035156	-0.199219	0.691406	-0.759320	-0.328101	-0.496839	-0.316406	-0.140625	-0.140625	74	16_54_05_8345460
0.032227	-0.196289	0.688477	-0.768694	-0.337475	-0.496839	-0.140625	-0.128906	-0.023438	75	16_54_05_8506750
0.038086	-0.190430	0.685547	-0.759320	-0.328101	-0.496839	-0.316406	-0.082031	-0.117188	76	16_54_05_8668040
