sensor_ID	0006660160E3
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
0.070313	-0.656250	0.114258	-0.299978	-0.571833	-0.749946	0.457031	1.054688	0.011719	0	16_54_04_6720000
0.005859	-0.597656	0.099609	-0.318727	-0.506213	-0.740571	0.503906	0.937500	-0.070313	1	16_54_04_6881290
-0.017578	-0.559570	0.102539	-0.328101	-0.515588	-0.712448	0.515625	0.902344	-0.011719	2	16_54_04_7042580
-0.017578	-0.550781	0.082031	-0.318727	-0.562459	-0.674951	0.843750	0.925781	0.093750	3	16_54_04_7203870
0.008789	-0.568359	0.067383	-0.318727	-0.637454	-0.628079	0.480469	0.960938	-0.070313	4	16_54_04_7365160
0.052734	-0.591797	0.067383	-0.337475	-0.703074	-0.599956	0.480469	0.914063	-0.070313	5	16_54_04_7526450
0.052734	-0.615234	0.073242	-0.356224	-0.721823	-0.581208	0.503906	0.925781	-0.046875	6	16_54_04_7687740
0.026367	-0.618164	0.064453	-0.384347	-0.712448	-0.581208	0.480469	0.937500	-0.011719	7	16_54_04_7849030
0.023438	-0.606445	0.067383	-0.393721	-0.684325	-0.581208	0.574219	0.949219	0.480469	8	16_54_04_8010320
0.002930	-0.591797	0.055664	-0.393721	-0.665577	-0.581208	0.480469	0.949219	-0.058594	9	16_54_04_8171610
0.000000	-0.591797	0.041016	-0.393721	-0.665577	-0.581208	0.621094	0.914063	-0.023438	10	16_54_04_8332900
-0.005859	-0.591797	0.029297	-0.403096	-0.684325	-0.581208	0.503906	0.867188	-0.093750	11	16_54_04_8494190
-0.017578	-0.580078	0.023438	-0.412470	-0.703074	-0.581208	0.750000	0.902344	0.023438	12	16_54_04_8655480
0.000000	-0.571289	0.032227	-0.412470	-0.712448	-0.590582	0.480469	0.984375	-0.058594	13	16_54_04_8816770
0.011719	-0.574219	0.023438	-0.403096	-0.712448	-0.590582	0.925781	0.960938	0.070313	14	16_54_04_8978060
0.020508	-0.556641	0.026367	-0.393721	-0.693700	-0.590582	0.480469	0.925781	-0.070313	15	16_54_04_9139350
0.023438	-0.577148	0.020508	-0.374973	-0.684325	-0.590582	0.492188	0.890625	-0.046875	16	16_54_04_9300640
0.032227	-0.580078	0.017578	-0.374973	-0.665577	-0.590582	0.503906	0.949219	-0.093750	17	16_54_04_9461930
0.035156	-0.580078	0.020508	-0.374973	-0.656202	-0.599956	0.480469	0.937500	-0.105469	18	16_54_04_9623220
0.041016	-0.585938	0.020508	-0.365598	-0.656202	-0.599956	0.492188	0.914063	-0.070313	19	16_54_04_9784510
0.026367	-0.577148	0.026367	-0.365598	-0.656202	-0.599956	0.632813	0.890625	-0.035156	20	16_54_04_9945800
0.020508	-0.574219	0.020508	-0.365598	-0.656202	-0.599956	0.785156	0.902344	0.117188	21	16_54_05_0107090
0.014648	-0.580078	0.023438	-0.365598	-0.646828	-0.599956	0.503906	0.867188	-0.082031	22	16_54_05_0268380
0.026367	-0.580078	0.032227	-0.356224	-0.656202	-0.599956	0.644531	0.914063	-0.023438	23	16_54_05_0429670
0.017578	-0.577148	0.038086	-0.356224	-0.646828	-0.609331	0.480469	0.914063	-0.082031	24	16_54_05_0590960
0.035156	-0.580078	0.038086	-0.356224	-0.637454	-0.609331	0.492188	0.843750	-0.070313	25	16_54_05_0752250
0.023438	-0.583008	0.043945	-0.356224	-0.628079	-0.609331	0.503906	0.890625	-0.058594	26	16_54_05_0913540
0.020508	-0.571289	0.032227	-0.365598	-0.628079	-0.609331	0.503906	0.914063	-0.058594	27	16_54_05_1074830
0.020508	-0.585938	0.041016	-0.356224	-0.637454	-0.609331	0.503906	0.890625	-0.058594	28	16_54_05_1236120
