sensor_ID	3337
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
0.187567	0.790643	0.572741	-0.004079	0.000628	-0.002510	-0.486938	-1.003174	-0.672485	0	16_15_03_0270000
0.187567	0.790643	0.572741	-0.003765	-0.005962	0.002824	-0.486938	-1.003174	-0.672607	1	16_15_03_0350000
0.187780	0.790643	0.572741	-0.005020	-0.008786	0.007217	-0.487061	-1.003174	-0.672607	2	16_15_03_0430000
0.187780	0.790643	0.572741	0.000314	-0.000314	-0.005334	-0.487061	-1.003174	-0.672607	3	16_15_03_0510000
0.187780	0.790643	0.572741	-0.002196	0.004393	-0.002196	-0.487061	-1.003174	-0.672607	4	16_15_03_0590000
0.187780	0.790643	0.572741	0.003138	-0.003138	-0.004393	-0.487061	-1.003174	-0.672607	5	16_15_03_0670000
0.187567	0.790857	0.572741	-0.001255	0.015061	-0.009099	-0.486938	-1.003174	-0.672607	6	16_15_03_0750000
0.187567	0.790857	0.572741	0.013492	0.010355	-0.002196	-0.486816	-1.003174	-0.672607	7	16_15_03_0830000
0.187353	0.790857	0.572741	0.000314	0.014747	-0.010355	-0.486694	-1.003296	-0.672607	8	16_15_03_0910000
0.187353	0.790857	0.572741	0.002824	-0.001883	-0.002196	-0.486572	-1.003296	-0.672607	9	16_15_03_0990000
0.187353	0.790857	0.572741	0.008472	-0.002824	-0.008472	-0.486572	-1.003296	-0.672485	10	16_15_03_1070000
0.187353	0.791070	0.572527	0.009099	0.005962	-0.006903	-0.486572	-1.003418	-0.672485	11	16_15_03_1150000
0.187353	0.791070	0.572527	0.002196	0.001255	0.000941	-0.486450	-1.003418	-0.672485	12	16_15_03_1230000
0.187139	0.791070	0.572527	0.011923	0.002824	-0.002510	-0.486450	-1.003540	-0.672363	13	16_15_03_1310000
0.187139	0.791070	0.572527	0.018199	-0.002196	-0.002510	-0.486450	-1.003540	-0.672241	14	16_15_03_1390000
0.187139	0.791284	0.572314	0.008472	0.003138	-0.006589	-0.486450	-1.003662	-0.672241	15	16_15_03_1470000
0.187139	0.791284	0.572314	0.007844	0.010668	-0.000941	-0.486328	-1.003784	-0.672119	16	16_15_03_1550000
0.187139	0.791284	0.572314	-0.001569	0.008472	-0.005334	-0.486206	-1.003784	-0.672119	17	16_15_03_1630000
0.187139	0.791284	0.572314	-0.001255	-0.008472	-0.000314	-0.486206	-1.003784	-0.672119	18	16_15_03_1710000
0.187139	0.791284	0.572314	0.004079	-0.002824	-0.000941	-0.486328	-1.003784	-0.672119	19	16_15_03_1790000
0.187139	0.791284	0.572314	0.007217	-0.000314	0.004393	-0.486328	-1.003784	-0.672119	20	16_15_03_1870000
0.187139	0.791284	0.572100	0.006589	-0.004707	-0.003452	-0.486328	-1.003784	-0.671997	21	16_15_03_1950000
0.187139	0.791284	0.572100	-0.000941	-0.001569	0.004079	-0.486328	-1.003784	-0.671997	22	16_15_03_2030000
0.187139	0.791284	0.572100	-0.007844	-0.001255	-0.010355	-0.486328	-1.003784	-0.671997	23	16_15_03_2110000
0.187139	0.791284	0.572314	-0.013492	0.003452	-0.009727	-0.486206	-1.003784	-0.672119	24	16_15_03_2190000
0.186926	0.791284	0.572314	-0.008158	0.000941	-0.023847	-0.486084	-1.003784	-0.672241	25	16_15_03_2270000
0.186926	0.791284	0.572314	0.002196	0.006589	-0.008786	-0.485962	-1.003906	-0.672241	26	16_15_03_2350000
0.186712	0.791284	0.572314	-0.007217	-0.003765	-0.005962	-0.485840	-1.003906	-0.672241	27	16_15_03_2430000
0.186712	0.791284	0.572314	0.004393	0.004079	-0.003452	-0.485840	-1.003906	-0.672241	28	16_15_03_2510000
0.186712	0.791284	0.572314	-0.003452	-0.008472	-0.007217	-0.485840	-1.003906	-0.672241	29	16_15_03_2590000
0.186712	0.791284	0.572314	-0.006589	-0.001569	-0.016003	-0.485718	-1.003906	-0.672241	30	16_15_03_2670000
0.186499	0.791284	0.572314	-0.006275	0.000000	-0.005020	-0.485718	-1.003906	-0.672363	31	16_15_03_2750000
0.186499	0.791284	0.572314	-0.000941	-0.001569	-0.005648	-0.485596	-1.003906	-0.672363	32	16_15_03_2830000
0.186499	0.791284	0.572314	0.005334	0.003138	0.001569	-0.485596	-1.003906	-0.672363	33	16_15_03_2910000
0.186499	0.791284	0.572314	0.000941	-0.000314	0.007531	-0.485596	-1.003906	-0.672241	34	16_15_03_2990000
0.186499	0.791284	0.572314	0.000628	0.004079	-0.003765	-0.485596	-1.003906	-0.672241	35	16_15_03_3070000
0.186499	0.791284	0.572314	-0.005020	-0.003452	0.005648	-0.485596	-1.003906	-0.672363	36	16_15_03_3150000
0.186499	0.791284	0.572314	-0.011610	-0.001569	-0.004707	-0.485718	-1.003906	-0.672363	37	16_15_03_3230000
0.186499	0.791284	0.572314	-0.006275	-0.001883	0.002196	-0.485718	-1.003784	-0.672485	38	16_15_03_3310000
0.186499	0.791284	0.572314	-0.000628	0.005962	-0.000628	-0.485718	-1.003784	-0.672485	39	16_15_03_3390000
0.186499	0.791284	0.572314	0.002510	-0.008472	-0.001255	-0.485718	-1.003784	-0.672485	40	16_15_03_3470000
0.186712	0.791284	0.572314	-0.004079	-0.009099	-0.004393	-0.485718	-1.003784	-0.672485	41	16_15_03_3550000
0.186712	0.791284	0.572314	-0.004707	-0.005962	0.006275	-0.485718	-1.003784	-0.672485	42	16_15_03_3630000
0.186712	0.791284	0.572527	-0.012551	-0.010982	-0.002824	-0.485840	-1.003784	-0.672485	43	16_15_03_3710000
0.186712	0.791284	0.572527	-0.005962	0.001569	0.001255	-0.485840	-1.003662	-0.672485	44	16_15_03_3790000
0.186712	0.791284	0.572527	-0.003138	0.005962	0.004079	-0.485840	-1.003662	-0.672607	45	16_15_03_3870000
0.186712	0.791284	0.572527	-0.012865	-0.002824	-0.000314	-0.485840	-1.003540	-0.672607	46	16_15_03_3950000
0.186712	0.791070	0.572741	-0.029809	0.002824	0.000941	-0.485840	-1.003540	-0.672852	47	16_15_03_4030000
0.186712	0.791070	0.572741	-0.003138	0.001883	0.002196	-0.485840	-1.003418	-0.672974	48	16_15_03_4110000
0.186712	0.791070	0.572741	-0.001255	0.007217	-0.006903	-0.485840	-1.003418	-0.672974	49	16_15_03_4190000
