sensor_ID	000666015711
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
0.046875	-0.234375	0.706055	-0.712448	-0.224984	-0.487465	-0.339844	-0.082031	-0.175781	0	16_14_46_3430000
0.052734	-0.231445	0.697266	-0.712448	-0.224984	-0.478090	-0.339844	-0.082031	-0.117188	1	16_14_46_3591290
0.058594	-0.237305	0.706055	-0.712448	-0.215609	-0.487465	-0.339844	-0.070313	-0.117188	2	16_14_46_3752580
0.055664	-0.231445	0.697266	-0.712448	-0.224984	-0.478090	-0.339844	-0.093750	-0.140625	3	16_14_46_3913870
0.061523	-0.231445	0.700195	-0.712448	-0.224984	-0.478090	-0.328125	-0.093750	-0.140625	4	16_14_46_4075160
0.058594	-0.216797	0.706055	-0.712448	-0.224984	-0.487465	-0.140625	-0.023438	0.000000	5	16_14_46_4236450
0.058594	-0.216797	0.703125	-0.712448	-0.224984	-0.487465	-0.351563	-0.082031	-0.105469	6	16_14_46_4397740
0.058594	-0.228516	0.703125	-0.721823	-0.224984	-0.487465	-0.281250	0.058594	0.011719	7	16_14_46_4559030
0.052734	-0.228516	0.700195	-0.712448	-0.234358	-0.487465	-0.339844	-0.128906	-0.140625	8	16_14_46_4720320
0.064453	-0.228516	0.703125	-0.712448	-0.224984	-0.487465	-0.339844	-0.140625	-0.128906	9	16_14_46_4881610
0.052734	-0.231445	0.700195	-0.712448	-0.224984	-0.478090	-0.339844	-0.070313	-0.152344	10	16_14_46_5042900
0.061523	-0.231445	0.700195	-0.712448	-0.224984	-0.487465	-0.339844	-0.082031	-0.140625	11	16_14_46_5204190
0.058594	-0.228516	0.700195	-0.703074	-0.224984	-0.487465	-0.339844	-0.082031	-0.164063	12	16_14_46_5365480
0.046875	-0.228516	0.697266	-0.721823	-0.224984	-0.478090	-0.328125	-0.105469	-0.128906	13	16_14_46_5526770
0.070313	-0.222656	0.703125	-0.712448	-0.224984	-0.487465	-0.339844	-0.093750	-0.058594	14	16_14_46_5688060
0.061523	-0.216797	0.700195	-0.712448	-0.224984	-0.487465	-0.046875	-0.035156	0.128906	15	16_14_46_5849350
0.058594	-0.222656	0.700195	-0.712448	-0.224984	-0.487465	-0.339844	-0.082031	-0.046875	16	16_14_46_6010640
