sensor_ID	0006660160E3
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
0.243164	-0.541992	-0.026367	-0.374973	-0.543711	-0.590582	0.386719	0.972656	0.058594	0	16_14_46_4520000
0.240234	-0.541992	-0.023438	-0.384347	-0.543711	-0.599956	0.433594	0.902344	-0.011719	1	16_14_46_4681290
0.257813	-0.547852	-0.029297	-0.374973	-0.553085	-0.599956	0.410156	0.925781	-0.011719	2	16_14_46_4842580
0.237305	-0.539063	-0.017578	-0.374973	-0.553085	-0.599956	0.445313	0.890625	-0.058594	3	16_14_46_5003870
0.246094	-0.539063	-0.026367	-0.374973	-0.543711	-0.599956	0.480469	0.878906	-0.046875	4	16_14_46_5165160
0.240234	-0.544922	-0.020508	-0.374973	-0.543711	-0.599956	0.421875	0.855469	-0.046875	5	16_14_46_5326450
0.240234	-0.539063	-0.026367	-0.374973	-0.543711	-0.599956	0.421875	0.867188	-0.023438	6	16_14_46_5487740
0.228516	-0.536133	-0.023438	-0.384347	-0.553085	-0.599956	1.019531	0.914063	0.199219	7	16_14_46_5649030
0.249023	-0.541992	-0.026367	-0.374973	-0.553085	-0.599956	0.960938	0.890625	0.187500	8	16_14_46_5810320
0.246094	-0.541992	-0.026367	-0.374973	-0.553085	-0.599956	0.410156	0.937500	-0.046875	9	16_14_46_5971610
0.251953	-0.530273	-0.029297	-0.374973	-0.543711	-0.599956	0.457031	0.902344	0.011719	10	16_14_46_6132900
0.219727	-0.550781	-0.026367	-0.374973	-0.543711	-0.599956	0.632813	0.902344	0.339844	11	16_14_46_6294190
0.228516	-0.547852	-0.026367	-0.384347	-0.543711	-0.599956	0.421875	0.914063	-0.058594	12	16_14_46_6455480
0.246094	-0.553711	-0.026367	-0.374973	-0.553085	-0.599956	0.457031	0.914063	-0.023438	13	16_14_46_6616770
0.237305	-0.539063	-0.026367	-0.374973	-0.553085	-0.599956	0.445313	0.890625	0.000000	14	16_14_46_6778060
0.240234	-0.550781	-0.017578	-0.393721	-0.553085	-0.599956	0.679688	0.867188	0.023438	15	16_14_46_6939350
0.246094	-0.544922	-0.014648	-0.374973	-0.543711	-0.599956	0.433594	0.843750	-0.070313	16	16_14_46_7100640
0.234375	-0.539063	-0.020508	-0.374973	-0.543711	-0.599956	0.410156	0.890625	0.000000	17	16_14_46_7261930
0.240234	-0.541992	-0.026367	-0.374973	-0.543711	-0.590582	0.421875	0.890625	0.000000	18	16_14_46_7423220
0.231445	-0.541992	-0.032227	-0.374973	-0.553085	-0.599956	0.410156	0.914063	-0.023438	19	16_14_46_7584510
0.251953	-0.541992	-0.011719	-0.374973	-0.543711	-0.599956	0.562500	0.878906	0.058594	20	16_14_46_7745800
0.240234	-0.550781	-0.020508	-0.374973	-0.543711	-0.599956	0.539063	0.937500	0.222656	21	16_14_46_7907090
0.234375	-0.544922	-0.014648	-0.374973	-0.543711	-0.599956	0.433594	0.914063	-0.035156	22	16_14_46_8068380
0.240234	-0.539063	-0.029297	-0.374973	-0.553085	-0.590582	0.445313	0.914063	-0.011719	23	16_14_46_8229670
0.246094	-0.541992	-0.023438	-0.374973	-0.543711	-0.590582	0.433594	0.914063	-0.035156	24	16_14_46_8390960
0.246094	-0.541992	-0.026367	-0.384347	-0.543711	-0.599956	0.480469	0.914063	-0.011719	25	16_14_46_8552250
0.246094	-0.550781	-0.029297	-0.374973	-0.543711	-0.599956	0.433594	0.914063	-0.011719	26	16_14_46_8713540
0.240234	-0.541992	-0.020508	-0.374973	-0.543711	-0.599956	0.445313	0.867188	0.000000	27	16_14_46_8874830
0.240234	-0.541992	-0.026367	-0.374973	-0.543711	-0.599956	0.468750	0.855469	0.000000	28	16_14_46_9036120
0.240234	-0.544922	-0.026367	-0.374973	-0.543711	-0.609331	0.433594	0.914063	0.000000	29	16_14_46_9197410
0.234375	-0.544922	-0.026367	-0.374973	-0.543711	-0.599956	0.468750	0.925781	-0.023438	30	16_14_46_9358700
0.240234	-0.544922	-0.020508	-0.374973	-0.543711	-0.599956	0.410156	0.890625	-0.058594	31	16_14_46_9519990
0.240234	-0.541992	-0.008789	-0.374973	-0.543711	-0.599956	0.457031	0.902344	-0.058594	32	16_14_46_9681280
0.234375	-0.536133	-0.014648	-0.374973	-0.543711	-0.599956	0.468750	0.890625	0.093750	33	16_14_46_9842570
