sensor_ID	000666015735
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
0.234375	-0.205078	0.764648	-0.787443	-0.656202	-0.384347	-0.222656	0.386719	0.363281	0	16_30_31_3438700
0.228516	-0.196289	0.764648	-0.796817	-0.656202	-0.374973	-0.175781	0.375000	0.433594	1	16_30_31_3599990
0.225586	-0.193359	0.761719	-0.778068	-0.656202	-0.365598	-0.175781	0.363281	0.457031	2	16_30_31_3761280
0.216797	-0.196289	0.761719	-0.796817	-0.656202	-0.365598	-0.199219	0.363281	0.480469	3	16_30_31_3922570
0.208008	-0.193359	0.752930	-0.796817	-0.656202	-0.365598	-0.199219	0.351563	0.492188	4	16_30_31_4083860
0.208008	-0.205078	0.755859	-0.796817	-0.656202	-0.365598	-0.199219	0.386719	0.421875	5	16_30_31_4245150
0.205078	-0.205078	0.750000	-0.806191	-0.656202	-0.356224	-0.164063	0.609375	0.539063	6	16_30_31_4406440
0.208008	-0.199219	0.755859	-0.806191	-0.665577	-0.356224	-0.222656	0.386719	0.550781	7	16_30_31_4567730
0.210938	-0.208008	0.767578	-0.806191	-0.665577	-0.356224	-0.210938	0.363281	0.363281	8	16_30_31_4729020
0.208008	-0.199219	0.758789	-0.806191	-0.665577	-0.356224	-0.187500	0.339844	0.398438	9	16_30_31_4890310
0.210938	-0.199219	0.764648	-0.806191	-0.665577	-0.356224	-0.152344	0.351563	0.421875	10	16_30_31_5051600
0.219727	-0.199219	0.761719	-0.806191	-0.656202	-0.356224	0.035156	0.539063	0.480469	11	16_30_31_5212890
0.202148	-0.193359	0.770508	-0.806191	-0.656202	-0.356224	-0.175781	0.375000	0.503906	12	16_30_31_5374180
0.208008	-0.216797	0.764648	-0.806191	-0.656202	-0.356224	-0.187500	0.375000	0.433594	13	16_30_31_5535470
0.202148	-0.208008	0.764648	-0.806191	-0.656202	-0.356224	-0.187500	0.375000	0.410156	14	16_30_31_5696760
0.181641	-0.208008	0.758789	-0.806191	-0.656202	-0.365598	-0.199219	0.398438	0.398438	15	16_30_31_5858050
0.181641	-0.205078	0.758789	-0.806191	-0.665577	-0.365598	-0.187500	0.398438	0.433594	16	16_30_31_6019340
0.187500	-0.216797	0.758789	-0.815566	-0.665577	-0.374973	-0.199219	0.386719	0.480469	17	16_30_31_6180630
0.181641	-0.222656	0.764648	-0.824940	-0.665577	-0.374973	-0.105469	0.421875	0.644531	18	16_30_31_6341920
0.196289	-0.216797	0.761719	-0.824940	-0.665577	-0.384347	-0.082031	0.468750	0.492188	19	16_30_31_6503210
0.190430	-0.208008	0.779297	-0.815566	-0.656202	-0.393721	-0.187500	0.375000	0.421875	20	16_30_31_6664500
0.193359	-0.205078	0.776367	-0.824940	-0.665577	-0.393721	-0.175781	0.351563	0.503906	21	16_30_31_6825790
0.208008	-0.190430	0.770508	-0.824940	-0.665577	-0.384347	-0.175781	0.386719	0.457031	22	16_30_31_6987080
0.202148	-0.199219	0.779297	-0.834314	-0.656202	-0.384347	0.117188	0.527344	0.539063	23	16_30_31_7148370
0.196289	-0.187500	0.755859	-0.824940	-0.656202	-0.384347	-0.187500	0.328125	0.503906	24	16_30_31_7309660
0.187500	-0.202148	0.764648	-0.815566	-0.665577	-0.384347	-0.199219	0.363281	0.480469	25	16_30_31_7470950
0.181641	-0.208008	0.761719	-0.815566	-0.665577	-0.374973	-0.187500	0.386719	0.457031	26	16_30_31_7632240
0.175781	-0.205078	0.764648	-0.824940	-0.674951	-0.384347	-0.175781	0.386719	0.468750	27	16_30_31_7793530
0.190430	-0.205078	0.761719	-0.824940	-0.684325	-0.384347	-0.199219	0.386719	0.457031	28	16_30_31_7954820
0.175781	-0.210938	0.767578	-0.824940	-0.684325	-0.384347	-0.199219	0.398438	0.492188	29	16_30_31_8116110
0.172852	-0.193359	0.752930	-0.824940	-0.674951	-0.384347	-0.199219	0.398438	0.445313	30	16_30_31_8277400
0.166992	-0.193359	0.770508	-0.834314	-0.674951	-0.393721	-0.175781	0.375000	0.433594	31	16_30_31_8438690
0.181641	-0.196289	0.770508	-0.834314	-0.674951	-0.393721	-0.187500	0.351563	0.421875	32	16_30_31_8599980
0.181641	-0.199219	0.758789	-0.824940	-0.684325	-0.393721	-0.199219	0.386719	0.468750	33	16_30_31_8761270
