sensor_ID	0006660160E3
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
0.041016	-0.568359	0.049805	-0.356224	-0.618705	-0.571833	0.433594	1.007813	0.046875	0	16_30_31_4378700
0.049805	-0.568359	0.055664	-0.356224	-0.618705	-0.581208	0.480469	0.914063	-0.058594	1	16_30_31_4539990
0.055664	-0.562500	0.052734	-0.356224	-0.618705	-0.571833	0.527344	0.914063	-0.058594	2	16_30_31_4701280
0.058594	-0.562500	0.043945	-0.356224	-0.618705	-0.571833	0.445313	0.914063	-0.058594	3	16_30_31_4862570
0.058594	-0.574219	0.038086	-0.346850	-0.618705	-0.571833	0.468750	0.890625	-0.070313	4	16_30_31_5023860
0.061523	-0.583008	0.043945	-0.346850	-0.618705	-0.571833	0.457031	0.867188	-0.070313	5	16_30_31_5185150
0.073242	-0.571289	0.038086	-0.337475	-0.637454	-0.571833	0.878906	0.890625	0.035156	6	16_30_31_5346440
0.073242	-0.556641	0.046875	-0.346850	-0.628079	-0.581208	0.503906	0.914063	-0.058594	7	16_30_31_5507730
0.067383	-0.550781	0.043945	-0.356224	-0.628079	-0.590582	0.480469	0.867188	-0.035156	8	16_30_31_5669020
0.082031	-0.553711	0.046875	-0.356224	-0.618705	-0.599956	0.445313	0.937500	-0.093750	9	16_30_31_5830310
0.076172	-0.594727	0.023438	-0.365598	-0.618705	-0.609331	0.539063	0.902344	-0.058594	10	16_30_31_5991600
0.064453	-0.603516	0.020508	-0.384347	-0.618705	-0.628079	0.480469	0.890625	-0.035156	11	16_30_31_6152890
0.064453	-0.568359	0.026367	-0.393721	-0.618705	-0.646828	0.445313	0.890625	-0.023438	12	16_30_31_6314180
0.049805	-0.556641	0.032227	-0.393721	-0.637454	-0.628079	0.457031	0.843750	-0.046875	13	16_30_31_6475470
0.046875	-0.541992	0.049805	-0.374973	-0.637454	-0.618705	0.445313	0.914063	-0.093750	14	16_30_31_6636760
0.052734	-0.553711	0.052734	-0.346850	-0.637454	-0.609331	0.445313	0.890625	-0.070313	15	16_30_31_6798050
0.052734	-0.577148	0.043945	-0.337475	-0.628079	-0.599956	0.468750	0.878906	-0.035156	16	16_30_31_6959340
0.049805	-0.597656	0.055664	-0.337475	-0.665577	-0.599956	0.445313	0.914063	-0.011719	17	16_30_31_7120630
0.041016	-0.609375	0.046875	-0.346850	-0.618705	-0.599956	0.492188	0.925781	-0.046875	18	16_30_31_7281920
0.052734	-0.612305	0.058594	-0.356224	-0.618705	-0.618705	0.843750	0.855469	0.105469	19	16_30_31_7443210
0.032227	-0.580078	0.055664	-0.374973	-0.618705	-0.628079	0.468750	0.843750	-0.093750	20	16_30_31_7604500
0.032227	-0.559570	0.055664	-0.374973	-0.628079	-0.618705	0.445313	0.843750	-0.058594	21	16_30_31_7765790
0.020508	-0.553711	0.049805	-0.374973	-0.646828	-0.618705	0.480469	0.925781	-0.058594	22	16_30_31_7927080
0.041016	-0.568359	0.055664	-0.374973	-0.656202	-0.609331	0.457031	0.878906	-0.058594	23	16_30_31_8088370
0.052734	-0.577148	0.038086	-0.374973	-0.665577	-0.609331	0.468750	0.902344	-0.070313	24	16_30_31_8249660
0.052734	-0.583008	0.038086	-0.374973	-0.656202	-0.609331	0.480469	0.855469	-0.093750	25	16_30_31_8410950
0.052734	-0.571289	0.041016	-0.384347	-0.646828	-0.609331	0.468750	0.878906	-0.082031	26	16_30_31_8572240
0.046875	-0.577148	0.035156	-0.374973	-0.656202	-0.609331	0.480469	0.832031	-0.046875	27	16_30_31_8733530
0.046875	-0.580078	0.032227	-0.384347	-0.656202	-0.618705	0.480469	0.902344	-0.058594	28	16_30_31_8894820
0.052734	-0.577148	0.023438	-0.393721	-0.665577	-0.628079	0.492188	0.914063	-0.070313	29	16_30_31_9056110
0.041016	-0.565430	0.029297	-0.384347	-0.665577	-0.628079	0.691406	0.914063	0.304688	30	16_30_31_9217400
0.032227	-0.562500	0.043945	-0.384347	-0.665577	-0.637454	0.492188	0.890625	-0.070313	31	16_30_31_9378690
0.029297	-0.550781	0.052734	-0.384347	-0.656202	-0.646828	0.515625	0.867188	-0.058594	32	16_30_31_9539980
0.023438	-0.550781	0.058594	-0.374973	-0.646828	-0.646828	0.468750	0.867188	-0.058594	33	16_30_31_9701270
0.020508	-0.559570	0.055664	-0.374973	-0.637454	-0.646828	0.480469	0.902344	-0.093750	34	16_30_31_9862560
0.011719	-0.568359	0.055664	-0.365598	-0.646828	-0.646828	0.738281	0.960938	-0.035156	35	16_30_32_0023850
0.000000	-0.562500	0.049805	-0.365598	-0.646828	-0.646828	0.750000	0.914063	-0.011719	36	16_30_32_0185140
0.026367	-0.574219	0.043945	-0.365598	-0.665577	-0.628079	0.457031	0.878906	-0.093750	37	16_30_32_0346430
0.038086	-0.562500	0.058594	-0.356224	-0.665577	-0.628079	0.515625	0.855469	-0.070313	38	16_30_32_0507720
0.043945	-0.580078	0.070313	-0.356224	-0.656202	-0.628079	0.480469	0.878906	-0.058594	39	16_30_32_0669010
0.035156	-0.583008	0.073242	-0.356224	-0.656202	-0.618705	0.527344	0.937500	-0.058594	40	16_30_32_0830300
0.011719	-0.594727	0.067383	-0.356224	-0.656202	-0.618705	0.457031	0.902344	-0.082031	41	16_30_32_0991590
0.002930	-0.597656	0.067383	-0.365598	-0.684325	-0.609331	0.457031	0.960938	-0.082031	42	16_30_32_1152880
0.023438	-0.591797	0.058594	-0.374973	-0.693700	-0.609331	0.457031	0.984375	-0.035156	43	16_30_32_1314170
0.023438	-0.603516	0.064453	-0.374973	-0.693700	-0.609331	0.457031	0.949219	-0.035156	44	16_30_32_1475460
0.029297	-0.580078	0.064453	-0.393721	-0.703074	-0.609331	0.503906	0.878906	-0.070313	45	16_30_32_1636750
0.046875	-0.568359	0.061523	-0.384347	-0.712448	-0.609331	0.750000	0.902344	-0.011719	46	16_30_32_1798040
0.029297	-0.536133	0.061523	-0.384347	-0.703074	-0.609331	0.480469	0.890625	-0.105469	47	16_30_32_1959330
0.035156	-0.536133	0.058594	-0.384347	-0.684325	-0.609331	0.480469	0.914063	-0.117188	48	16_30_32_2120620
0.041016	-0.541992	0.043945	-0.374973	-0.674951	-0.599956	0.515625	0.878906	-0.093750	49	16_30_32_2281910
0.041016	-0.574219	0.038086	-0.365598	-0.665577	-0.599956	0.457031	0.832031	-0.046875	50	16_30_32_2443200
0.035156	-0.594727	0.026367	-0.365598	-0.656202	-0.599956	0.515625	0.937500	-0.082031	51	16_30_32_2604490
0.035156	-0.585938	0.011719	-0.374973	-0.656202	-0.609331	0.503906	0.914063	-0.117188	52	16_30_32_2765780
0.041016	-0.591797	0.023438	-0.374973	-0.656202	-0.618705	0.503906	0.878906	-0.093750	53	16_30_32_2927070
0.043945	-0.585938	0.026367	-0.384347	-0.656202	-0.628079	0.515625	0.914063	-0.070313	54	16_30_32_3088360
0.041016	-0.585938	0.029297	-0.384347	-0.646828	-0.628079	0.492188	0.890625	-0.082031	55	16_30_32_3249650
0.043945	-0.585938	0.020508	-0.393721	-0.637454	-0.628079	0.515625	0.890625	-0.093750	56	16_30_32_3410940
0.041016	-0.603516	0.032227	-0.374973	-0.637454	-0.637454	0.492188	0.902344	-0.070313	57	16_30_32_3572230
0.017578	-0.609375	0.020508	-0.384347	-0.628079	-0.646828	0.468750	0.843750	-0.082031	58	16_30_32_3733520
0.020508	-0.591797	0.035156	-0.393721	-0.637454	-0.646828	0.503906	0.914063	-0.093750	59	16_30_32_3894810
0.011719	-0.580078	0.041016	-0.393721	-0.637454	-0.646828	0.468750	0.890625	-0.082031	60	16_30_32_4056100
0.017578	-0.565430	0.052734	-0.393721	-0.637454	-0.646828	0.480469	0.878906	-0.058594	61	16_30_32_4217390
0.023438	-0.565430	0.067383	-0.393721	-0.637454	-0.646828	0.492188	0.914063	-0.058594	62	16_30_32_4378680
0.014648	-0.556641	0.070313	-0.374973	-0.618705	-0.646828	0.480469	0.878906	-0.070313	63	16_30_32_4539970
0.000000	-0.571289	0.084961	-0.374973	-0.628079	-0.646828	0.468750	0.890625	-0.070313	64	16_30_32_4701260
0.011719	-0.562500	0.076172	-0.374973	-0.618705	-0.637454	0.527344	0.937500	-0.082031	65	16_30_32_4862550
0.005859	-0.571289	0.084961	-0.365598	-0.628079	-0.637454	0.703125	0.937500	0.035156	66	16_30_32_5023840
0.002930	-0.580078	0.082031	-0.365598	-0.637454	-0.637454	0.468750	0.960938	-0.023438	67	16_30_32_5185130
-0.011719	-0.585938	0.079102	-0.365598	-0.656202	-0.628079	0.820313	0.949219	0.035156	68	16_30_32_5346420
-0.017578	-0.591797	0.079102	-0.374973	-0.656202	-0.618705	0.515625	0.914063	-0.128906	69	16_30_32_5507710
-0.002930	-0.603516	0.073242	-0.374973	-0.656202	-0.609331	0.468750	0.937500	-0.140625	70	16_30_32_5669000
-0.017578	-0.591797	0.073242	-0.384347	-0.665577	-0.609331	0.902344	0.925781	0.199219	71	16_30_32_5830290
-0.008789	-0.583008	0.064453	-0.393721	-0.665577	-0.599956	0.480469	0.960938	-0.058594	72	16_30_32_5991580
-0.011719	-0.577148	0.055664	-0.393721	-0.684325	-0.599956	0.515625	0.960938	-0.011719	73	16_30_32_6152870
-0.011719	-0.574219	0.055664	-0.393721	-0.693700	-0.599956	0.503906	0.902344	-0.046875	74	16_30_32_6314160
-0.005859	-0.574219	0.049805	-0.393721	-0.693700	-0.599956	0.621094	0.867188	0.046875	75	16_30_32_6475450
0.000000	-0.577148	0.046875	-0.393721	-0.684325	-0.599956	0.468750	0.914063	-0.035156	76	16_30_32_6636740
0.002930	-0.580078	0.052734	-0.393721	-0.674951	-0.599956	0.468750	0.914063	-0.093750	77	16_30_32_6798030
0.000000	-0.574219	0.043945	-0.393721	-0.674951	-0.599956	0.539063	0.902344	-0.093750	78	16_30_32_6959320
0.002930	-0.556641	0.043945	-0.384347	-0.656202	-0.599956	0.468750	0.914063	-0.117188	79	16_30_32_7120610
0.005859	-0.571289	0.052734	-0.374973	-0.656202	-0.599956	0.503906	0.949219	-0.105469	80	16_30_32_7281900
0.005859	-0.562500	0.061523	-0.374973	-0.637454	-0.599956	0.503906	0.925781	-0.105469	81	16_30_32_7443190
0.000000	-0.562500	0.061523	-0.365598	-0.637454	-0.609331	0.468750	0.890625	-0.046875	82	16_30_32_7604480
0.011719	-0.585938	0.061523	-0.365598	-0.628079	-0.609331	0.492188	0.914063	0.328125	83	16_30_32_7765770
-0.002930	-0.571289	0.061523	-0.374973	-0.628079	-0.618705	0.480469	0.867188	-0.058594	84	16_30_32_7927060
0.005859	-0.585938	0.067383	-0.365598	-0.628079	-0.618705	0.527344	0.820313	-0.070313	85	16_30_32_8088350
0.000000	-0.583008	0.064453	-0.365598	-0.628079	-0.618705	0.492188	0.820313	-0.058594	86	16_30_32_8249640
-0.008789	-0.580078	0.070313	-0.365598	-0.637454	-0.618705	0.621094	0.820313	-0.023438	87	16_30_32_8410930
-0.008789	-0.580078	0.064453	-0.356224	-0.637454	-0.618705	0.457031	0.914063	-0.082031	88	16_30_32_8572220
0.005859	-0.568359	0.073242	-0.356224	-0.637454	-0.618705	0.480469	0.914063	-0.105469	89	16_30_32_8733510
-0.002930	-0.577148	0.073242	-0.356224	-0.637454	-0.609331	0.492188	0.820313	-0.082031	90	16_30_32_8894800
-0.002930	-0.585938	0.070313	-0.356224	-0.646828	-0.609331	0.949219	0.867188	0.128906	91	16_30_32_9056090
