sensor_ID	000666015715
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
-0.002930	-0.720703	-0.014648	-0.196861	0.243732	-0.178112	0.597656	1.066406	0.539063	0	17_11_16_5381000
0.011719	-0.711914	-0.020508	-0.196861	0.243732	-0.178112	0.609375	0.820313	0.457031	1	17_11_16_5542290
0.008789	-0.726563	-0.023438	-0.187486	0.243732	-0.178112	0.667969	0.867188	0.457031	2	17_11_16_5703580
0.000000	-0.726563	-0.017578	-0.187486	0.253107	-0.187486	0.644531	0.808594	0.445313	3	17_11_16_5864870
0.005859	-0.714844	-0.017578	-0.187486	0.253107	-0.187486	0.632813	0.703125	0.480469	4	17_11_16_6026160
-0.002930	-0.723633	-0.017578	-0.196861	0.243732	-0.187486	0.656250	0.878906	0.492188	5	17_11_16_6187450
-0.005859	-0.720703	-0.020508	-0.196861	0.243732	-0.187486	0.632813	0.890625	0.468750	6	17_11_16_6348740
0.000000	-0.708984	-0.026367	-0.196861	0.243732	-0.178112	0.644531	0.914063	0.457031	7	17_11_16_6510030
0.002930	-0.711914	-0.023438	-0.196861	0.243732	-0.178112	0.609375	0.867188	0.445313	8	17_11_16_6671320
-0.005859	-0.720703	-0.014648	-0.206235	0.243732	-0.187486	0.609375	0.820313	0.433594	9	17_11_16_6832610
0.008789	-0.723633	-0.020508	-0.196861	0.243732	-0.178112	0.632813	0.855469	0.445313	10	17_11_16_6993900
0.011719	-0.723633	-0.014648	-0.187486	0.243732	-0.178112	0.609375	0.843750	0.468750	11	17_11_16_7155190
0.002930	-0.720703	-0.026367	-0.187486	0.243732	-0.178112	0.855469	1.171875	0.515625	12	17_11_16_7316480
-0.005859	-0.720703	-0.011719	-0.196861	0.243732	-0.178112	0.644531	0.832031	0.480469	13	17_11_16_7477770
0.008789	-0.720703	-0.014648	-0.187486	0.243732	-0.178112	0.632813	0.878906	0.468750	14	17_11_16_7639060
-0.002930	-0.720703	-0.011719	-0.187486	0.243732	-0.178112	0.726563	1.253906	0.539063	15	17_11_16_7800350
