sensor_ID	0006660160E3
Accel_X	Accel_Y	Accel_Z	Roll	Pitch	Yaw	Mag_X	Mag_Y	Mag_Z	Count	SysTime
-0.090820	-0.518555	0.307617	-0.365598	-0.703074	-0.581208	0.585938	1.054688	-0.117188	0	17_11_16_6161000
-0.067383	-0.521484	0.301758	-0.374973	-0.703074	-0.581208	0.597656	0.914063	-0.175781	1	17_11_16_6322290
-0.079102	-0.512695	0.310547	-0.374973	-0.703074	-0.581208	0.609375	0.878906	-0.187500	2	17_11_16_6483580
-0.082031	-0.521484	0.310547	-0.384347	-0.703074	-0.571833	0.574219	0.890625	-0.164063	3	17_11_16_6644870
-0.084961	-0.515625	0.304688	-0.374973	-0.703074	-0.571833	0.609375	0.902344	-0.164063	4	17_11_16_6806160
-0.076172	-0.515625	0.307617	-0.393721	-0.712448	-0.581208	0.609375	0.878906	-0.175781	5	17_11_16_6967450
-0.093750	-0.512695	0.313477	-0.384347	-0.731197	-0.581208	0.585938	0.960938	-0.175781	6	17_11_16_7128740
-0.093750	-0.509766	0.301758	-0.374973	-0.731197	-0.571833	0.597656	0.937500	-0.175781	7	17_11_16_7290030
-0.090820	-0.498047	0.310547	-0.374973	-0.740571	-0.581208	0.644531	0.972656	0.082031	8	17_11_16_7451320
-0.067383	-0.509766	0.310547	-0.374973	-0.740571	-0.581208	0.574219	0.902344	-0.199219	9	17_11_16_7612610
-0.064453	-0.498047	0.319336	-0.365598	-0.731197	-0.581208	0.597656	0.914063	-0.175781	10	17_11_16_7773900
-0.067383	-0.506836	0.301758	-0.356224	-0.712448	-0.590582	0.585938	0.925781	-0.175781	11	17_11_16_7935190
-0.064453	-0.509766	0.298828	-0.356224	-0.721823	-0.599956	0.597656	0.937500	-0.187500	12	17_11_16_8096480
-0.064453	-0.509766	0.304688	-0.365598	-0.712448	-0.599956	0.609375	0.890625	-0.199219	13	17_11_16_8257770
-0.064453	-0.515625	0.310547	-0.356224	-0.703074	-0.609331	0.632813	0.902344	-0.187500	14	17_11_16_8419060
-0.073242	-0.506836	0.301758	-0.356224	-0.693700	-0.609331	0.597656	0.914063	-0.187500	15	17_11_16_8580350
-0.070313	-0.521484	0.301758	-0.356224	-0.693700	-0.609331	0.597656	0.972656	-0.199219	16	17_11_16_8741640
-0.082031	-0.524414	0.322266	-0.356224	-0.684325	-0.618705	0.574219	0.972656	-0.175781	17	17_11_16_8902930
-0.084961	-0.533203	0.301758	-0.356224	-0.674951	-0.618705	0.621094	0.949219	-0.187500	18	17_11_16_9064220
-0.064453	-0.521484	0.322266	-0.365598	-0.674951	-0.618705	0.609375	0.937500	-0.199219	19	17_11_16_9225510
-0.093750	-0.521484	0.307617	-0.365598	-0.665577	-0.628079	0.621094	0.960938	-0.175781	20	17_11_16_9386800
-0.084961	-0.512695	0.301758	-0.365598	-0.665577	-0.618705	0.585938	0.902344	-0.164063	21	17_11_16_9548090
-0.084961	-0.500977	0.301758	-0.374973	-0.674951	-0.628079	0.890625	0.820313	-0.082031	22	17_11_16_9709380
-0.061523	-0.498047	0.301758	-0.374973	-0.665577	-0.628079	0.597656	0.960938	-0.187500	23	17_11_16_9870670
-0.052734	-0.503906	0.313477	-0.374973	-0.665577	-0.637454	0.585938	0.925781	-0.187500	24	17_11_17_0031960
-0.064453	-0.515625	0.328125	-0.374973	-0.646828	-0.637454	0.597656	0.914063	-0.187500	25	17_11_17_0193250
-0.082031	-0.506836	0.307617	-0.374973	-0.656202	-0.628079	0.597656	0.878906	-0.199219	26	17_11_17_0354540
-0.093750	-0.512695	0.301758	-0.365598	-0.665577	-0.618705	0.808594	0.832031	0.246094	27	17_11_17_0515830
-0.082031	-0.509766	0.292969	-0.356224	-0.693700	-0.609331	0.750000	0.843750	0.292969	28	17_11_17_0677120
-0.064453	-0.539063	0.295898	-0.365598	-0.693700	-0.599956	0.621094	0.902344	-0.187500	29	17_11_17_0838410
-0.052734	-0.515625	0.307617	-0.356224	-0.693700	-0.590582	0.585938	0.984375	-0.164063	30	17_11_17_0999700
-0.067383	-0.527344	0.301758	-0.356224	-0.684325	-0.590582	0.585938	0.914063	-0.199219	31	17_11_17_1160990
-0.084961	-0.509766	0.307617	-0.356224	-0.674951	-0.581208	0.597656	0.890625	-0.222656	32	17_11_17_1322280
-0.067383	-0.503906	0.295898	-0.356224	-0.665577	-0.581208	0.609375	0.843750	-0.199219	33	17_11_17_1483570
-0.058594	-0.524414	0.295898	-0.356224	-0.665577	-0.581208	0.621094	0.925781	-0.164063	34	17_11_17_1644860
-0.076172	-0.524414	0.298828	-0.356224	-0.656202	-0.590582	1.101563	0.914063	0.035156	35	17_11_17_1806150
-0.082031	-0.541992	0.298828	-0.356224	-0.656202	-0.590582	0.597656	0.996094	-0.175781	36	17_11_17_1967440
-0.090820	-0.515625	0.307617	-0.365598	-0.646828	-0.590582	0.726563	0.890625	-0.152344	37	17_11_17_2128730
-0.093750	-0.533203	0.304688	-0.365598	-0.656202	-0.590582	0.632813	0.843750	0.269531	38	17_11_17_2290020
-0.093750	-0.509766	0.313477	-0.374973	-0.656202	-0.599956	0.714844	0.914063	-0.152344	39	17_11_17_2451310
-0.114258	-0.521484	0.313477	-0.374973	-0.674951	-0.609331	0.609375	0.925781	-0.035156	40	17_11_17_2612600
-0.087891	-0.495117	0.313477	-0.374973	-0.674951	-0.599956	0.585938	0.890625	-0.175781	41	17_11_17_2773890
-0.102539	-0.509766	0.325195	-0.374973	-0.703074	-0.599956	0.832031	0.808594	-0.105469	42	17_11_17_2935180
-0.105469	-0.527344	0.313477	-0.384347	-0.712448	-0.599956	0.585938	0.820313	-0.152344	43	17_11_17_3096470
-0.099609	-0.512695	0.307617	-0.384347	-0.731197	-0.599956	0.597656	0.820313	-0.140625	44	17_11_17_3257760
-0.102539	-0.500977	0.301758	-0.374973	-0.749946	-0.590582	0.621094	0.914063	-0.175781	45	17_11_17_3419050
-0.093750	-0.498047	0.298828	-0.356224	-0.768694	-0.590582	1.253906	0.996094	0.093750	46	17_11_17_3580340
-0.076172	-0.509766	0.290039	-0.356224	-0.768694	-0.590582	0.609375	0.949219	-0.152344	47	17_11_17_3741630
-0.070313	-0.506836	0.304688	-0.356224	-0.749946	-0.581208	0.621094	0.925781	-0.164063	48	17_11_17_3902920
-0.067383	-0.509766	0.292969	-0.346850	-0.740571	-0.590582	0.703125	0.855469	0.234375	49	17_11_17_4064210
-0.067383	-0.503906	0.292969	-0.356224	-0.731197	-0.590582	0.738281	0.902344	-0.140625	50	17_11_17_4225500
-0.055664	-0.521484	0.301758	-0.356224	-0.703074	-0.599956	0.597656	0.867188	-0.187500	51	17_11_17_4386790
-0.067383	-0.518555	0.307617	-0.356224	-0.712448	-0.599956	0.609375	0.890625	-0.210938	52	17_11_17_4548080
-0.082031	-0.515625	0.307617	-0.356224	-0.703074	-0.590582	0.609375	0.925781	-0.187500	53	17_11_17_4709370
-0.073242	-0.527344	0.301758	-0.356224	-0.712448	-0.590582	0.585938	0.867188	-0.187500	54	17_11_17_4870660
-0.061523	-0.527344	0.307617	-0.356224	-0.703074	-0.590582	0.574219	0.925781	-0.164063	55	17_11_17_5031950
-0.061523	-0.521484	0.307617	-0.365598	-0.684325	-0.599956	0.597656	0.937500	-0.140625	56	17_11_17_5193240
-0.079102	-0.521484	0.319336	-0.365598	-0.693700	-0.599956	1.089844	0.902344	0.292969	57	17_11_17_5354530
-0.082031	-0.515625	0.313477	-0.374973	-0.693700	-0.599956	0.574219	0.855469	-0.199219	58	17_11_17_5515820
-0.084961	-0.515625	0.319336	-0.374973	-0.693700	-0.609331	0.632813	0.855469	-0.187500	59	17_11_17_5677110
-0.093750	-0.527344	0.307617	-0.374973	-0.712448	-0.599956	0.609375	0.937500	-0.199219	60	17_11_17_5838400
-0.082031	-0.515625	0.307617	-0.374973	-0.721823	-0.599956	0.574219	0.914063	-0.246094	61	17_11_17_5999690
-0.070313	-0.512695	0.295898	-0.365598	-0.731197	-0.590582	0.597656	0.820313	-0.199219	62	17_11_17_6160980
-0.052734	-0.515625	0.301758	-0.365598	-0.703074	-0.599956	0.609375	0.820313	-0.140625	63	17_11_17_6322270
-0.049805	-0.503906	0.301758	-0.356224	-0.693700	-0.599956	0.925781	0.902344	-0.035156	64	17_11_17_6483560
-0.049805	-0.512695	0.301758	-0.356224	-0.693700	-0.609331	0.597656	0.996094	-0.175781	65	17_11_17_6644850
-0.070313	-0.524414	0.284180	-0.356224	-0.693700	-0.609331	0.597656	0.960938	-0.187500	66	17_11_17_6806140
-0.070313	-0.518555	0.290039	-0.346850	-0.703074	-0.599956	0.632813	0.925781	-0.187500	67	17_11_17_6967430
-0.070313	-0.527344	0.295898	-0.346850	-0.703074	-0.590582	0.937500	0.972656	0.140625	68	17_11_17_7128720
-0.061523	-0.530273	0.295898	-0.346850	-0.703074	-0.599956	0.609375	0.937500	-0.187500	69	17_11_17_7290010
-0.052734	-0.530273	0.301758	-0.356224	-0.693700	-0.599956	0.585938	0.902344	-0.199219	70	17_11_17_7451300
-0.067383	-0.524414	0.304688	-0.365598	-0.674951	-0.609331	0.761719	0.902344	0.093750	71	17_11_17_7612590
-0.067383	-0.533203	0.310547	-0.365598	-0.665577	-0.609331	0.574219	0.960938	-0.175781	72	17_11_17_7773880
-0.079102	-0.521484	0.316406	-0.374973	-0.674951	-0.609331	0.597656	0.984375	-0.164063	73	17_11_17_7935170
-0.087891	-0.515625	0.322266	-0.374973	-0.684325	-0.609331	0.585938	0.925781	-0.187500	74	17_11_17_8096460
-0.096680	-0.521484	0.313477	-0.374973	-0.693700	-0.609331	0.621094	0.890625	-0.175781	75	17_11_17_8257750
-0.082031	-0.506836	0.313477	-0.374973	-0.712448	-0.599956	0.585938	0.949219	-0.175781	76	17_11_17_8419040
-0.070313	-0.512695	0.301758	-0.365598	-0.721823	-0.599956	1.207031	0.902344	0.082031	77	17_11_17_8580330
-0.076172	-0.512695	0.295898	-0.365598	-0.721823	-0.599956	0.585938	0.902344	-0.164063	78	17_11_17_8741620
-0.073242	-0.515625	0.301758	-0.365598	-0.721823	-0.599956	0.585938	0.937500	-0.175781	79	17_11_17_8902910
-0.061523	-0.506836	0.304688	-0.356224	-0.712448	-0.599956	0.609375	0.937500	-0.199219	80	17_11_17_9064200
-0.055664	-0.515625	0.292969	-0.356224	-0.712448	-0.599956	0.597656	0.902344	-0.199219	81	17_11_17_9225490
-0.052734	-0.515625	0.290039	-0.356224	-0.703074	-0.609331	0.597656	0.867188	-0.175781	82	17_11_17_9386780
-0.052734	-0.521484	0.290039	-0.356224	-0.703074	-0.609331	0.597656	0.843750	-0.175781	83	17_11_17_9548070
-0.052734	-0.533203	0.295898	-0.356224	-0.693700	-0.609331	0.832031	0.902344	-0.093750	84	17_11_17_9709360
-0.055664	-0.527344	0.292969	-0.365598	-0.674951	-0.609331	1.101563	0.914063	-0.011719	85	17_11_17_9870650
-0.061523	-0.524414	0.301758	-0.365598	-0.665577	-0.609331	0.574219	0.984375	-0.164063	86	17_11_18_0031940
-0.052734	-0.524414	0.301758	-0.365598	-0.665577	-0.618705	0.621094	0.937500	-0.175781	87	17_11_18_0193230
-0.067383	-0.521484	0.301758	-0.374973	-0.665577	-0.609331	0.574219	0.937500	-0.164063	88	17_11_18_0354520
-0.070313	-0.521484	0.301758	-0.374973	-0.674951	-0.609331	0.574219	0.937500	-0.164063	89	17_11_18_0515810
-0.061523	-0.515625	0.301758	-0.374973	-0.674951	-0.609331	0.703125	0.937500	0.410156	90	17_11_18_0677100
-0.082031	-0.521484	0.290039	-0.374973	-0.684325	-0.609331	0.761719	0.972656	-0.105469	91	17_11_18_0838390
-0.079102	-0.512695	0.307617	-0.374973	-0.693700	-0.599956	0.750000	0.949219	-0.105469	92	17_11_18_0999680
-0.076172	-0.512695	0.295898	-0.365598	-0.703074	-0.599956	0.597656	0.890625	-0.164063	93	17_11_18_1160970
-0.073242	-0.515625	0.301758	-0.365598	-0.712448	-0.609331	0.597656	0.867188	-0.175781	94	17_11_18_1322260
-0.076172	-0.521484	0.301758	-0.374973	-0.721823	-0.609331	0.621094	0.914063	-0.199219	95	17_11_18_1483550
-0.087891	-0.515625	0.298828	-0.365598	-0.721823	-0.618705	0.597656	1.007813	-0.199219	96	17_11_18_1644840
-0.061523	-0.524414	0.295898	-0.365598	-0.721823	-0.618705	0.621094	0.937500	-0.187500	97	17_11_18_1806130
